MemTotal:         941892 kB

MemFree:           44484 kB

Buffers:           20812 kB

Cached:           361492 kB

SwapCached:        20136 kB

Active:           337552 kB

Inactive:         367140 kB

Active(anon):     153568 kB

Inactive(anon):   175692 kB

Active(file):     183984 kB

Inactive(file):   191448 kB

Unevictable:        6600 kB

Mlocked:               0 kB

HighTotal:        262144 kB

HighFree:           1672 kB

LowTotal:         679748 kB

LowFree:           42812 kB

SwapTotal:        524284 kB

SwapFree:         374264 kB

Dirty:                 0 kB

Writeback:             0 kB

AnonPages:        323516 kB

Mapped:           190356 kB

Shmem:               264 kB

Slab:              37584 kB

SReclaimable:      14504 kB

SUnreclaim:        23080 kB

KernelStack:        9488 kB

PageTables:        27252 kB

NFS_Unstable:          0 kB

Bounce:                0 kB

WritebackTmp:          0 kB

CommitLimit:      995228 kB

Committed_AS:   21351220 kB

VmallocTotal:     237568 kB

VmallocUsed:      113828 kB

VmallocChunk:      49008 kB

